x,inhib_blocked
0.0142,0.0218
0.3648,-0.0092
0.7151,-0.0047
1.0654,-0.0002
1.4157,0.0043
1.766,0.0088
2.1163,0.0133
2.4666,0.0178
2.8166,0.0578
3.0965,0.0969
3.4465,0.137
3.7962,0.2125
4.0758,0.2872
4.3551,0.3973
4.6345,0.5075
4.9138,0.6176
5.2635,0.6932
5.5431,0.7678
5.8928,0.8434
6.2431,0.8479
6.5239,0.7804
6.8752,0.6784
7.0863,0.5745
7.2977,0.4352
7.5091,0.2958
7.7205,0.1564
7.8619,0.0162
8.0736,-0.1587
8.215,-0.299
8.4264,-0.4384
8.5681,-0.6142
8.7094,-0.7544
8.8511,-0.9302
9.0625,-1.0696
9.2042,-1.2454
9.3455,-1.3856
9.4872,-1.5614
9.6986,-1.7008
9.8399,-1.8411
10.0517,-2.016
10.2631,-2.1553
10.4745,-2.2947
10.6859,-2.4341
10.8973,-2.5734
11.1084,-2.6773
11.3896,-2.7802
11.7405,-2.8468
12.0915,-2.9133
12.372,-2.9452
12.7223,-2.9407
13.0723,-2.9007
13.4223,-2.8606
13.7723,-2.8206
14.0519,-2.746
14.4016,-2.6704
14.6812,-2.5958
15.0309,-2.5203
15.3106,-2.4456
15.6602,-2.3701
15.9396,-2.2599
16.2892,-2.1844
16.5689,-2.1097
16.9186,-2.0342
17.1982,-1.9595
17.5479,-1.884
17.8275,-1.8094
18.1071,-1.7347
18.4568,-1.6592
18.7364,-1.5845
19.0161,-1.5099
19.3657,-1.4344
19.6454,-1.3597
